山东教育,rtp://239.77.0.83:5146
CCTV4K,rtp://239.77.0.194:5146
CCTV4K,rtp://239.77.1.180:5146
CCTV4K,rtp://239.77.0.194:5146
CCTV4K,rtp://239.77.1.180:5146
北京卫视4K,rtp://239.77.0.2:5146
北京卫视4K,rtp://239.77.0.3:5146
北京卫视4K,rtp://239.77.0.153:5146
北京卫视4K,rtp://239.77.0.233:5146
北京卫视4K,rtp://239.77.1.13:5146
东方卫视4K,rtp://239.77.0.59:5146
广东卫视4K,rtp://239.77.0.27:5146
广东卫视4K,rtp://239.77.0.65:5146
广东卫视4K,rtp://239.77.0.66:5146
深圳卫视4K,rtp://239.77.0.67:5146
深圳卫视4K,rtp://239.77.1.14:5146
湖南卫视4K,rtp://239.77.0.56:5146
山东卫视4K,rtp://239.77.0.61:5146
四川卫视4K,rtp://239.77.0.60:5146
浙江卫视4K,rtp://239.77.0.58:5146
江苏卫视4K,rtp://239.77.0.57:5146
明珠台,rtp://239.77.1.189:5146
翡翠台,rtp://239.77.1.107:5146
