山东卫视高清,rtp://239.0.0.66:5140
山东卫视4K50P,rtp://239.0.0.208:5140
山西卫视,rtp://239.0.0.78:5140
广东卫视高清,rtp://239.0.0.70:5140
广东卫视4K-25P,rtp://239.0.0.200:5140
广西卫视高清,rtp://239.0.0.185:5140
新疆卫视高清,rtp://239.0.0.38:5140
江苏卫视高清,rtp://239.0.0.60:5140
江苏卫视4K50P,rtp://239.0.0.205:5140
江西卫视高清,rtp://239.0.0.63:5140
河北卫视高清,rtp://239.0.0.55:5140
河南卫视高清,rtp://239.0.0.182:5140
浙江卫视高清,rtp://239.0.0.61:5140
浙江卫视4K50P,rtp://239.0.0.206:5140
海南卫视,rtp://239.0.0.100:5140
深圳卫视高清,rtp://239.0.0.71:5140
深圳卫视4K-25P,rtp://239.0.0.199:5140
湖北卫视高清,rtp://239.0.0.67:5140
湖南卫视高清,rtp://239.0.0.68:5140
湖南卫视4K50P,rtp://239.0.0.204:5140
甘肃卫视高清,rtp://239.0.0.192:5140
西藏卫视高清,rtp://239.0.0.39:5140
贵州卫视高清,rtp://239.0.0.64:5140
辽宁卫视高清,rtp://239.0.0.56:5140
重庆卫视高清,rtp://239.0.0.72:5140
陕西卫视高清,rtp://239.0.0.53:5140
青海卫视,rtp://239.0.0.108:5140
黑龙江卫视高清,rtp://239.0.0.57:5140
先锋乒羽,rtp://239.0.0.37:5140
三沙卫视,rtp://239.0.0.195:5140
东南卫视高清,rtp://239.0.0.62:5140
中国交通,rtp://239.0.0.143:5140
中学生,rtp://239.0.0.29:5140
乐游高清,rtp://239.0.0.30:5140
兵团卫视高清,rtp://239.0.0.41:5140
动漫秀场高清,rtp://239.0.0.28:5140
卡酷动画,rtp://239.0.0.75:5140
厦门卫视,rtp://239.0.0.194:5140
安多卫视,rtp://239.0.0.109:5140
峨眉电影高清,rtp://239.0.0.9:5140
延边卫视,rtp://239.0.0.76:5140
快乐垂钓高清,rtp://239.0.0.40:5140
欢笑剧场4K,rtp://239.0.0.201:5140
精彩影视高清,rtp://239.0.0.26:5140
老故事,rtp://239.0.0.27:5140
茶频道高清,rtp://239.0.0.36:5140
金色学堂高清,rtp://239.0.0.32:5140
金鹰卡通,rtp://239.0.0.95:5140

