广元综合,udp://239.94.0.167:5140
广元文化生活,udp://239.94.0.179:5140
德阳新闻综合,udp://239.94.0.176:5140
德阳文旅科教,udp://239.94.0.165:5140
内江综合,udp://239.94.0.164:5140
内江科教生活,udp://239.94.0.181:5140
凉山综合,udp://239.94.0.171:5140
凉山彝语综合,udp://239.94.0.175:5140
资阳综合,udp://239.94.0.183:5140
宜宾公共,udp://239.94.0.172:5140
宜宾综合,udp://239.94.0.161:5140
攀枝花综合,udp://239.94.0.168:5140
泸州综合,udp://239.94.0.163:5140
泸州科教生活,udp://239.94.0.182:5140
雅安综合,udp://239.94.0.166:5140
雅安文化生活,udp://239.94.0.180:5140
眉山综合,udp://239.94.0.170:5140
眉山文旅乡村,udp://239.94.0.174:5140
财富天下,udp://239.94.1.67:5140
财富天下,udp://239.94.1.42:5140
少儿动画,udp://239.94.1.33:5140
魅力时尚,udp://239.94.1.39:5140
爱体育,udp://239.94.1.44:5140
求索记录,udp://239.94.1.142:5140
热播剧场,udp://239.94.1.25:5140
经典电影,udp://239.94.1.21:5140
音乐现场,udp://239.94.1.36:5140
精彩导视,udp://239.94.1.63:5140
精彩影视,udp://239.94.1.172:5140
爱生活,udp://239.94.1.41:5140
爱体育,udp://239.94.1.143:5140
iHOT爱动漫,udp://239.94.1.141:5140
iHOT爱历史,udp://239.94.1.135:5140
iHOT爱喜剧,udp://239.94.1.129:5140
iHOT爱喜剧,udp://239.94.2.71:5140
iHOT爱奇谈,udp://239.94.1.130:5140
iHOT爱幼教,udp://239.94.1.139:5140
iHOT爱悬疑,udp://239.94.1.136:5140
iHOT爱旅行,udp://239.94.1.137:5140
iHOT爱浪漫,udp://239.94.1.128:5140
iHOT爱玩具,udp://239.94.1.140:5140
iHOT爱科幻,udp://239.94.1.131:5140
iHOT爱谍战,udp://239.94.1.134:5140
iHOT爱赛车,udp://239.94.1.144:5140
iHOT爱院线,udp://239.94.1.132:5140
爱历史,rtp://239.93.4.229:8592
爱动漫HD,rtp://239.93.4.239:8736
爱喜剧HD,rtp://239.93.4.225:8500
爱奇谈HD,rtp://239.93.4.238:8722
爱幼教HD,rtp://239.93.4.233:8682
爱悬疑HD,rtp://239.93.4.228:8576
爱旅行HD,rtp:/239.93.4.232:8678
爱浪漫HD,rtp://239.93.4.237:8718
爱玩具HD,rtp://239.93.4.234:8686
爱科幻HD,rtp://239.93.4.226:8568
爱谍战HD,rtp://239.93.4.230:8596
爱赛车HD,rtp://239.93.4.236:8700
爱院线HD,rtp://239.93.4.227:8572
bestv,udp://239.94.2.57:5140
i成都,udp://239.94.2.1:5140
乐龄学堂,udp://239.94.1.155:5140
睛彩学堂HD,rtp://239.93.4.216:8868
全球大片,udp://239.94.1.24:5140
军事专区,udp://239.94.1.52:5140
华语影院,udp://239.94.1.22:5140
四海钓鱼,udp://239.94.1.168:5140
地理专区,udp://239.94.1.54:5140
墨宝专区,udp://239.94.1.51:5140
大爱四川专区,udp://239.94.1.12:5140
大爱四川专区,udp://239.94.1.13:5140
大爱四川专区,udp://239.94.1.14:5140
大爱时尚专区,udp://239.94.1.15:5140
宝宝动画,udp://239.94.1.32:5140
导视,udp://239.94.1.64:5140
少儿天地,udp://239.94.1.138:5140
少儿天地HD,rtp://239.93.4.249:8804
戏曲专区,udp://239.94.1.38:5140
戏曲精选,udp://239.94.1.37:5140
收视指南专区,udp://239.94.1.56:5140
星光院线,udp://239.94.1.23:5140
未知节目,udp://239.94.2.72:5140
未识别,udp://239.94.2.25:5140
来钓鱼吧,udp://239.94.1.148:5140
睛彩钓鱼HD,rtp://239.93.4.224:8496
热门剧场,udp://239.94.1.26:5140
热门综艺,udp://239.94.1.35:5140
爱乐山,udp://239.94.2.2:5140
爱宠宠物,udp://239.94.1.145:5140
爱宠宠物,rtp://239.93.4.247:8796
电竞天堂,udp://239.94.1.45:5140
百变课堂,udp://239.94.1.43:5140
看天下精选,udp://239.94.1.68:5140
精彩推荐,udp://239.94.2.10:5140
红色影院,udp://239.94.1.48:5140
经典剧场,udp://239.94.1.49:5140
综艺咖秀,udp://239.94.2.28:5140
综艺咖秀,udp://239.94.2.27:5140
睛彩综艺HD,rtp://239.93.5.130:8780
解密专区,udp://239.94.1.53:5140
谍战剧场,udp://239.94.1.28:5140
足球专区,udp://239.94.1.47:5140
青春动漫,udp://239.94.1.34:5140
