更新时间: 2026-02-04 13:02:35（北京时间）

更新时间,#genre#
2026-02-04 13:02:35,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV-5+体育赛事,http://112.255.80.180:4000/udp/239.253.254.80:8000$山东联通
CCTV-5+体育赛事,http://123.112.240.132:5555/rtp/239.3.1.130:8004$北京市联通
CCTV-5+体育赛事,http://211.158.153.37:8001/rtp/225.0.4.73:7980$四川联通
CCTV-6电影,http://111.193.239.94:8888/rtp/239.3.1.174:8001$北京市联通
CCTV-6电影,http://171.8.194.206:8800/rtp/239.16.20.6:10060$河南电信
CCTV-6电影,http://211.158.153.37:8003/rtp/225.0.4.144:7980$四川联通
CCTV-6电影,http://111.113.89.184:2000/rtp/239.121.4.153:8902$宁夏电信
CCTV-6电影,http://222.83.161.177:9003/rtp/239.81.0.233:4056$广西电信
CCTV-6电影,http://171.83.96.76:8004/rtp/239.69.1.124:10382$湖北电信
CCTV-6电影,http://123.114.99.216:4022/rtp/239.3.1.174:8001$北京市联通
CCTV-6电影,http://211.158.153.37:8002/rtp/225.0.4.144:7980$四川联通
CCTV-6电影,http://192.144.185.155:6000/rtp/225.1.8.84:8000$北京市电信
CCTV-6电影,http://112.255.80.180:4000/udp/239.253.254.193:8000$山东联通
CCTV-6电影,http://123.112.240.132:5555/rtp/239.3.1.174:8001$北京市联通
CCTV-6电影,http://211.158.153.37:8001/rtp/225.0.4.144:7980$四川联通
CCTV-7国防军事,http://111.193.239.94:8888/rtp/239.3.1.61:8104$北京市联通
CCTV-7国防军事,http://171.8.194.206:8800/rtp/239.16.20.51:10510$河南电信
CCTV-7国防军事,http://211.158.153.37:8003/rtp/225.0.4.127:7980$四川联通
CCTV-7国防军事,http://111.113.89.184:2000/rtp/239.121.4.156:8920$宁夏电信
CCTV-7国防军事,http://222.83.161.177:9003/rtp/239.81.0.116:4056$广西电信
CCTV-7国防军事,http://171.83.96.76:8004/rtp/239.69.1.103:10256$湖北电信
CCTV-7国防军事,http://123.114.99.216:4022/rtp/239.3.1.61:8104$北京市联通
CCTV-7国防军事,http://211.158.153.37:8002/rtp/225.0.4.127:7980$四川联通
CCTV-7国防军事,http://192.144.185.155:6000/rtp/225.1.8.7:8104$北京市电信
CCTV-7国防军事,http://112.255.80.180:4000/udp/239.253.254.233:8000$山东联通
CCTV-7国防军事,http://123.112.240.132:5555/rtp/239.3.1.61:8104$北京市联通
CCTV-7国防军事,http://211.158.153.37:8001/rtp/225.0.4.127:7980$四川联通
CCTV-8电视剧,http://111.193.239.94:8888/rtp/239.3.1.175:8001$北京市联通
CCTV-8电视剧,http://171.8.194.206:8800/rtp/239.16.20.8:10080$河南电信
CCTV-8电视剧,http://211.158.153.37:8003/rtp/225.0.4.137:7980$四川联通
CCTV-8电视剧,http://211.158.153.37:8003/rtp/225.0.4.163:7980$四川联通
CCTV-8电视剧,http://111.113.89.184:2000/rtp/239.121.4.154:8908$宁夏电信
CCTV-8电视剧,http://222.83.161.177:9003/rtp/239.81.0.234:4056$广西电信
CCTV-8电视剧,http://171.83.96.76:8004/rtp/239.69.1.125:10388$湖北电信
CCTV-8电视剧,http://123.114.99.216:4022/rtp/239.3.1.175:8001$北京市联通
CCTV-8电视剧,http://211.158.153.37:8002/rtp/225.0.4.137:7980$四川联通
CCTV-8电视剧,http://211.158.153.37:8002/rtp/225.0.4.163:7980$四川联通
CCTV-8电视剧,http://192.144.185.155:6000/rtp/225.1.8.85:8000$北京市电信
CCTV-8电视剧,http://112.255.80.180:4000/udp/239.253.254.194:8000$山东联通
CCTV-8电视剧,http://123.112.240.132:5555/rtp/239.3.1.175:8001$北京市联通
